country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Chad,TD,TCD,148,Egg and/or flesh foods consumption (6-23months),2022,64.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2013,69.9,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2017,77.3,Female,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2013,70.8,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2017,75.8,Male,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2013,70.4,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
China,CN,CHN,156,Egg and/or flesh foods consumption (6-23months),2017,76.4,Total,Units,%,External Reanalysis,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2010,83.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2016,80.6,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2010,81.3,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2016,81.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2010,82.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Colombia,CO,COL,170,Egg and/or flesh foods consumption (6-23months),2016,81.0,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2012,61.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2022,51.5,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2012,57.9,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2022,55.2,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2012,59.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Comoros,KM,COM,174,Egg and/or flesh foods consumption (6-23months),2022,53.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2011,65.1,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2014,44.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2011,64.6,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2014,50.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2011,64.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Congo,CG,COG,178,Egg and/or flesh foods consumption (6-23months),2014,47.9,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Egg and/or flesh foods consumption (6-23months),2018,82.8,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Egg and/or flesh foods consumption (6-23months),2018,78.5,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Costa Rica,CR,CRI,188,Egg and/or flesh foods consumption (6-23months),2018,80.7,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2014,88.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2019,82.9,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2014,85.0,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2019,82.4,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2014,86.5,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Egg and/or flesh foods consumption (6-23months),2019,82.6,Total,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2012,57.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2016,60.2,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2021,58.4,Female,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Egg and/or flesh foods consumption (6-23months),2012,55.8,Male,Units,%,Reanalysed,,Middle of fieldwork,6 to 23 months old
